Date,Close
6/21/18,112.97
6/22/18,112.15
6/25/18,109.63
6/26/18,109.8
6/27/18,108.27
6/28/18,109.49
6/29/18,109.7
7/2/18,110.17
7/3/18,109.27
7/5/18,110.01
7/6/18,111.01
7/9/18,112.28
7/10/18,112.56
7/11/18,111.97
7/12/18,113.53
7/13/18,113.36
7/16/18,113.43
7/17/18,114.04
7/18/18,114.33
7/19/18,113.55
7/20/18,113.65
7/23/18,113.86
7/24/18,113.77
7/25/18,115.29
7/26/18,114.94
7/27/18,113.21
7/30/18,111.22
7/31/18,111.63
8/1/18,111.86
8/2/18,113.02
8/3/18,113.05
8/6/18,113.64
8/7/18,114.18
8/8/18,114.38
8/9/18,114.4
8/10/18,113.83
8/13/18,113.31
8/14/18,114.11
8/15/18,112.6
8/16/18,113.44
8/17/18,113.52
8/20/18,114.12
8/21/18,114.49
8/22/18,114.98
8/23/18,115.12
8/24/18,116.4
8/27/18,117.35
8/28/18,117.5
8/29/18,118.52
8/30/18,117.94
8/31/18,118.18
9/4/18,118.57
9/5/18,116.54
9/6/18,116.61
9/7/18,116.27
9/10/18,116.68
9/11/18,117.3
9/12/18,117.46
9/13/18,118.13
9/14/18,118.33
9/17/18,116.91
9/18/18,118.16
9/19/18,117.67
9/20/18,118.45
9/21/18,118.33
9/24/18,118.56
9/25/18,118.96
9/26/18,118.51
9/27/18,118.84
9/28/18,119
10/1/18,119.62
10/2/18,119.09
10/3/18,119.48
10/4/18,117.58
10/5/18,116.39
10/8/18,115.31
10/9/18,115.34
10/10/18,110.17
10/11/18,108.06
10/12/18,110.8
10/15/18,109.41
10/16/18,112.65
10/17/18,112.62
10/18/18,110.36
10/19/18,109.13
10/22/18,109.49
10/23/18,108.36
10/24/18,104.26
10/25/18,107.23
10/26/18,104.86
10/29/18,103.41
10/30/18,105.08
10/31/18,107.27
11/1/18,109.14
11/2/18,108.39
11/5/18,109
11/6/18,109.27
11/7/18,112.52
11/8/18,112.31
11/9/18,110.76
11/12/18,107.79
11/13/18,107.6
11/14/18,106.57
11/15/18,108.12
11/16/18,107.49
11/19/18,103.97
11/20/18,102.16
11/21/18,102.58
11/23/18,101.86
11/26/18,104.13
11/27/18,104.45
11/28/18,108.04
11/29/18,107.58
11/30/18,108.79
12/3/18,110.17
12/4/18,106.88
12/6/18,107.24
12/7/18,104.12
12/10/18,104.89
12/11/18,105.07
12/12/18,105.72
12/13/18,105.9
12/14/18,103.49
12/17/18,100.5
12/18/18,100.61
12/19/18,99.33
12/20/18,97.4
12/21/18,95.37
12/24/18,92.8
12/26/18,97.98
12/27/18,98.93
12/28/18,98.9
12/31/18,100.23
1/2/19,99.56
1/3/19,96.81
1/4/19,100.05
1/7/19,101.01
1/8/19,102.26
1/9/19,102.86
1/10/19,103
1/11/19,103.07
1/14/19,102.17
1/15/19,103.78
1/16/19,103.62
1/17/19,104.41
1/18/19,105.51
1/22/19,104.35
1/23/19,104.67
1/24/19,104.36
1/25/19,105.04
1/28/19,103.99
1/29/19,103.56
1/30/19,105.73
1/31/19,106.7
2/1/19,106.9
2/4/19,107.1
2/5/19,107.27
2/6/19,107.35
2/7/19,106.87
2/8/19,107.28
2/11/19,107.28
2/12/19,108.4
2/13/19,108.45
2/14/19,108.32
2/15/19,109.46
2/19/19,109.54
2/20/19,109.5
2/21/19,109.71
2/22/19,110.49
2/25/19,110.28
2/26/19,110.28
2/27/19,110.04
2/28/19,110.32
3/1/19,110.87
3/4/19,110.02
3/5/19,109.97
3/6/19,109.36
3/7/19,108.7
3/8/19,108.39
3/11/19,109.81
3/12/19,110.26
3/13/19,110.89
3/14/19,110.91
3/15/19,111.53
3/18/19,111.56
3/19/19,111.8
3/20/19,110.98
3/21/19,112.18
3/22/19,110.91
3/25/19,111.03
3/26/19,111.76
3/27/19,111.21
3/28/19,111.45
3/29/19,112.18
4/1/19,112.57
4/2/19,112.36
4/3/19,112.31
4/4/19,112.06
4/5/19,112.53
4/8/19,112.6
4/9/19,112.42
4/10/19,112.75
4/11/19,112.42
4/12/19,112.79
4/15/19,113.07
4/16/19,112.36
4/17/19,111.41
4/18/19,111.65
4/22/19,111.65
4/23/19,112.54
4/24/19,112.73
4/25/19,113.27
4/26/19,114.17
4/29/19,113.98
4/30/19,114.71
5/1/19,113.83
5/2/19,113.78
5/3/19,114.59
5/6/19,114.52
5/7/19,112.84
5/8/19,112.77
5/9/19,112.6
5/10/19,113.56
5/13/19,111.82
5/14/19,112.4
5/15/19,112.88
5/16/19,114.13
5/17/19,113.81
5/20/19,113.43
5/21/19,114.08
5/22/19,114.45
5/23/19,113.67
5/24/19,113.84
5/28/19,112.9
5/29/19,112.18
5/30/19,113.04
5/31/19,112.19
6/3/19,111.43
6/4/19,113.6
6/5/19,115.51
6/6/19,116.41
6/7/19,117.92
6/10/19,118.17
6/11/19,117.73
6/12/19,118.06
6/13/19,118.26
6/14/19,118.03
6/17/19,117.49
6/18/19,118.38
6/19/19,119.23
6/20/19,120.45
6/21/19,119.75
6/24/19,119.72
6/25/19,118.34
6/26/19,117.7
6/27/19,118.1
6/28/19,118.6
7/1/19,119.84
7/2/19,120.65
7/3/19,121.88
7/5/19,121.43
7/8/19,120.83
7/9/19,121.21
7/10/19,121.84
7/11/19,122.07
7/12/19,122.48
7/15/19,122.74
